title,authors,url
A new framework for fraud detection in bitcoin transactions through ensemble stacking model in smart cities,"N Nayyer, N Javaid, M Akbar, A Aldegheishem… - IEEE …, 2023 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10229136/
Bitcoin theft detection based on supervised machine learning algorithms,"B Chen, F Wei, C Gu - Security and Communication Networks, 2021 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/6643763
Illegal activity detection on bitcoin transaction using deep learning,"P Nerurkar - Soft Computing, 2023 - Springer",https://link.springer.com/article/10.1007/s00500-022-07779-1
A collective anomaly detection technique to detect crypto wallet frauds on bitcoin network,"MJ Shayegan, HR Sabor, M Uddin, CL Chen - Symmetry, 2022 - mdpi.com",https://www.mdpi.com/2073-8994/14/2/328
A machine learning and blockchain based efficient fraud detection mechanism,"T Ashfaq, R Khalid, AS Yahaya, S Aslam, AT Azar… - Sensors, 2022 - mdpi.com",https://www.mdpi.com/1424-8220/22/19/7162
Financial fraud detection applying data mining techniques: A comprehensive review from 2009 to 2019,"KG Al-Hashedi, P Magalingam - Computer Science Review, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1574013721000423
An abnormal transaction detection mechanim on bitcoin,"L Yang, X Dong, S Xing, J Zheng… - … on Networking and …, 2019 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9027529/
Comparative study of machine learning algorithms for fraud detection in blockchain,"M Bhowmik, TSS Chandana… - 2021 5th international …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9418470/
Complex network analysis of the bitcoin transaction network,"B Tao, HN Dai, J Wu, IWH Ho, Z Zheng… - IEEE Transactions on …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9614336/
Demystifying fraudulent transactions and illicit nodes in the bitcoin network for financial forensics,"Y Elmougy, L Liu - Proceedings of the 29th ACM SIGKDD Conference …, 2023 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3580305.3599803
Temporal debiasing using adversarial loss based GNN architecture for crypto fraud detection,"A Singh, A Gupta, H Wadhwa… - 2021 20th IEEE …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9680261/
Data mining-based ethereum fraud detection,"E Jung, M Le Tilly, A Gehani… - 2019 IEEE international …, 2019 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8946232/
Graph neural network for ethereum fraud detection,"R Tan, Q Tan, P Zhang, Z Li - 2021 IEEE international …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9667674/
Financial fraud detection using graph neural networks: A systematic review,"S Motie, B Raahemi - Expert Systems With Applications, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0957417423026581
[HTML][HTML] Analysis techniques for illicit bitcoin transactions,"AB Turner, S McCombie, AJ Uhlmann - Frontiers in Computer Science, 2020 - frontiersin.org",https://www.frontiersin.org/articles/10.3389/fcomp.2020.600596/full
A systematic review of detecting illicit bitcoin transactions,"CY Lin, HK Liao, FC Tsai - Procedia Computer Science, 2022 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1877050922012698
LGBM: a machine learning approach for Ethereum fraud detection,"RM Aziz, MF Baluch, S Patel, AH Ganie - International Journal of …, 2022 - Springer",https://link.springer.com/article/10.1007/s41870-022-00864-6
"Anomaly detection on bitcoin, ethereum networks using gpu-accelerated machine learning methods","Y Elmougy, O Manzi - 2021 31st International Conference on …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9916625/
Bitcoin abnormal transaction detection based on machine learning,"EV Feldman, AN Ruchay, VK Matveeva… - Recent Trends in …, 2021 - Springer",https://link.springer.com/chapter/10.1007/978-3-030-71214-3_17
Abnormal transaction detection of Bitcoin network based on feature fusion,"Q Liao, Y Gu, J Liao, W Li - 2020 IEEE 9th joint international …, 2020 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9338974/
Analysis of bitcoin transactions to detect illegal transactions using convolutional neural networks,"K Kolesnikova, O Mezentseva… - 2021 IEEE International …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9465983/
Cyber fraud: Detection and analysis of the crypto-ransomware,"K Ilker, M Aydos - 2020 11th IEEE Annual Ubiquitous …, 2020 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9298128/
Fraud detection in blockchains using machine learning,"B Kılıc, A Sen, C Özturan - 2022 Fourth International …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9922045/
An automatic detection and analysis of the bitcoin generator scam,"E Badawi, GV Jourdan, G Bochmann… - 2020 IEEE european …, 2020 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9229769/
A survey on blockchain abnormal transaction detection,"S Liu, B Cui, W Hou - … Conference on Blockchain and Trustworthy Systems, 2023 - Springer",https://link.springer.com/chapter/10.1007/978-981-99-8101-4_15
Mixing detection on bitcoin transactions using statistical patterns,"A Shojaeinasab, AP Motamed, B Bahrak - IET Blockchain, 2023 - Wiley Online Library",https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/blc2.12036
CT-GCN: A phishing identification model for blockchain cryptocurrency transactions,"B Fu, X Yu, T Feng - International Journal of Information Security, 2022 - Springer",https://link.springer.com/article/10.1007/s10207-022-00606-6
Ensemble deep learning based prediction of fraudulent Cryptocurrency transactions,"Q Umer, JW Li, MR Ashraf, RN Bashir, H Ghous - IEEE Access, 2023 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10235991/
Behavioral analysis of bitcoin users on illegal transactions,"F Samsudeen, H Perera - 2021 - dl.ucsc.cmb.ac.lk",https://dl.ucsc.cmb.ac.lk/jspui/handle/123456789/4226
Toward detecting illegal transactions on bitcoin using machine-learning methods,"C Lee, S Maharjan, K Ko, JWK Hong - Blockchain and Trustworthy …, 2020 - Springer",https://link.springer.com/chapter/10.1007/978-981-15-2777-7_42
A collective anomaly detection method over Bitcoin network,"MJ Shayegan, HR Sabor - arXiv preprint arXiv:2107.00925, 2021 - arxiv.org",https://arxiv.org/abs/2107.00925
Advanced Fraud Detection in Blockchain Transactions: An Ensemble Learning and Explainable AI Approach,"SS Taher, SY Ameen, JA Ahmed - Engineering, Technology & Applied …, 2024 - etasr.com",https://www.etasr.com/index.php/ETASR/article/view/6641
Blockchain and machine learning for fraud detection: A privacy-preserving and adaptive incentive based approach,"TH Pranto, KTAM Hasib, T Rahman, AB Haque… - IEEE …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9857827/
Generation and classification of illicit bitcoin transactions,"P de Juan Fidalgo, C Cámara… - … Conference on Ubiquitous …, 2022 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-21333-5_108
Phishing scams detection in ethereum transaction network,"L Chen, J Peng, Y Liu, J Li, F Xie, Z Zheng - ACM Transactions on …, 2020 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3398071
Property fraud detection and prevention using blockchain,"V Verma, S Priya, S Mishra… - … and Remote Sensing …, 2019 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9555856/
Identifying illicit addresses in bitcoin network,"Y Li, Y Cai, H Tian, G Xue, Z Zheng - … BlockSys 2020, Dali, China, August 6 …, 2020 - Springer",https://link.springer.com/chapter/10.1007/978-981-15-9213-3_8
Illicit activity detection in bitcoin transactions using timeseries analysis,"R Maheshwari, SP VA, G Shobha… - International …, 2023 - search.proquest.com",https://search.proquest.com/openview/53e8a5ed4ebc5ff0348222e85d7d249a/1?pq-origsite=gscholar&cbl=5444811
Credit card fraud prevention using blockchain,"E Balagolla, WPC Fernando… - … for Convergence in …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9418192/
Leveraging machine learning for multichain defi fraud detection,"G Palaiokrassas, S Scherrers, I Ofeidis… - … and Cryptocurrency  …, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10634350/
Detecting fraudulent accounts on blockchain: A supervised approach,"M Ostapowicz, K Żbikowski - … Conference, Hong Kong, China, January 19 …, 2019 - Springer",https://link.springer.com/chapter/10.1007/978-3-030-34223-4_2
Phishing fraud detection on ethereum using graph neural network,"P Li, Y Xie, X Xu, J Zhou, Q Xuan - International Conference on Blockchain …, 2022 - Springer",https://link.springer.com/chapter/10.1007/978-981-19-8043-5_26
Ethereum fraud detection with heterogeneous graph neural networks,"H Kanezashi, T Suzumura, X Liu, T Hirofuchi - arXiv preprint arXiv …, 2022 - arxiv.org",https://arxiv.org/abs/2203.12363
Supervised learning model for identifying illegal activities in Bitcoin,"P Nerurkar, S Bhirud, D Patel, R Ludinard, Y Busnel… - Applied …, 2021 - Springer",https://link.springer.com/article/10.1007/s10489-020-02048-w
Fraud detection and anti-money laundering applying machine learning techniques in cryptocurrencies transactional graphs,APF Martins - 2023 - repositorium.sdum.uminho.pt,https://repositorium.sdum.uminho.pt/handle/1822/92641
A model for detecting cryptocurrency transactions with discernible purpose,"H Baek, J Oh, CY Kim, K Lee - 2019 Eleventh International …, 2019 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8806126/
Oversampling techniques for detecting bitcoin illegal transactions,"J Han, J Woo, JWK Hong - 2020 21st Asia-Pacific Network …, 2020 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9236780/
Machine learning methods to detect money laundering in the bitcoin blockchain in the presence of label scarcity,"J Lorenz, MI Silva, D Aparício, JT Ascensão… - Proceedings of the first …, 2020 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3383455.3422549
